江西广电,#genre#
CCTV10HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000140&playtype=live&protocol=http&playtoken=&auth=no
CCTV12HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000128&playtype=live&protocol=http&playtoken=&auth=no
CCTV13,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000021&playtype=live&protocol=http&playtoken=&auth=no
CCTV14HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000150&playtype=live&protocol=http&playtoken=&auth=no
CGTN,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000123&playtype=live&protocol=http&playtoken=&auth=no
江西卫视HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000107&playtype=live&protocol=http&playtoken=&auth=no
湖南卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000102&playtype=live&protocol=http&playtoken=&auth=no
家政高清,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000108&playtype=live&protocol=http&playtoken=&auth=no
安徽卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000135&playtype=live&protocol=http&playtoken=&auth=no
湖北卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000109&playtype=live&protocol=http&playtoken=&auth=no
东方卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000110&playtype=live&protocol=http&playtoken=&auth=no
北京卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000101&playtype=live&protocol=http&playtoken=&auth=no
江苏卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000104&playtype=live&protocol=http&playtoken=&auth=no
浙江卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000103&playtype=live&protocol=http&playtoken=&auth=no
深圳卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000111&playtype=live&protocol=http&playtoken=&auth=no
黑龙江卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000113&playtype=live&protocol=http&playtoken=&auth=no
广东卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000112&playtype=live&protocol=http&playtoken=&auth=no
贵州卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000124&playtype=live&protocol=http&playtoken=&auth=no
广西卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000125&playtype=live&protocol=http&playtoken=&auth=no
辽宁卫视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000147&playtype=live&protocol=http&playtoken=&auth=no
江西2,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000002&playtype=live&protocol=http&playtoken=&auth=no
江西3,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000003&playtype=live&protocol=http&playtoken=&auth=no
江西4,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000004&playtype=live&protocol=http&playtoken=&auth=no
江西5,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000005&playtype=live&protocol=http&playtoken=&auth=no
江西6,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000006&playtype=live&protocol=http&playtoken=&auth=no
江西7HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000217&playtype=live&protocol=http&playtoken=&auth=no
新视觉HD,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000114&playtype=live&protocol=http&playtoken=&auth=no
魅力音乐,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000117&playtype=live&protocol=http&playtoken=&auth=no
CHC高清电影,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000115&playtype=live&protocol=http&playtoken=&auth=no
CHC动作电影,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000120&playtype=live&protocol=http&playtoken=&auth=no
CHC家庭影院,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000121&playtype=live&protocol=http&playtoken=&auth=no
劲爆体育,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000116&playtype=live&protocol=http&playtoken=&auth=no
欢笑剧场,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000118&playtype=live&protocol=http&playtoken=&auth=no
都市剧场,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000142&playtype=live&protocol=http&playtoken=&auth=no
全纪实,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000119&playtype=live&protocol=http&playtoken=&auth=no
DOXTV,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000126&playtype=live&protocol=http&playtoken=&auth=no
靓妆高清,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000127&playtype=live&protocol=http&playtoken=&auth=no
足球频道,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000130&playtype=live&protocol=http&playtoken=&auth=no
陶瓷,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000136&playtype=live&protocol=http&playtoken=&auth=no
生活时尚,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000141&playtype=live&protocol=http&playtoken=&auth=no
求索纪录,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000144&playtype=live&protocol=http&playtoken=&auth=no
北京体育,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000145&playtype=live&protocol=http&playtoken=&auth=no
游戏风云,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000148&playtype=live&protocol=http&playtoken=&auth=no
精彩影视,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000149&playtype=live&protocol=http&playtoken=&auth=no
极速汽车,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000146&playtype=live&protocol=http&playtoken=&auth=no
快乐垂钓,http://110.52.240.147:14352/playurl?accesstoken=R5D84BAC8U309F5104K7735B493I496D8875PBM3380BD1V1020DZ57EA5W15C622AF2FB1D3F1&programid=4200000143&playtype=live&protocol=http&playtoken=&auth=no
江西电信,#genre#
CCTV1HD,rtsp://115.153.233.154/PLTV/88888888/224/3221225699/iptv8040.smil
CCTV2HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226825/59814584.smil
CCTV4HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226838/59814684.smil
CCTV5HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226226/10000100000000060000000001408356_0.smil
CCTV7HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226827/59814693.smil
CCTV9HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226840/59814699.smil
CCTV10HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226630/51813372.smil
CCTV11戏曲,rtsp://115.153.233.154/PLTV/88888888/224/3221225529/iptv7955.smil
CCTV12HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226829/59814709.smil
CCTV13新闻,rtsp://115.153.233.154/PLTV/88888888/224/3221225533/iptv7957.smil
CCTV14HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226634/51813368.smil
CCTV15音乐,rtsp://115.153.233.154/PLTV/88888888/224/3221225537/iptv7959.smil
CCTV17HD,rtsp://115.153.233.154/PLTV/88888888/224/3221226846/61397282.smil
CGTV,rtsp://115.153.233.154/PLTV/88888888/224/3221226694/55738457.smil
江西卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226656/46275837.smil
江西卫视2,rtsp://115.153.233.154/PLTV/88888888/224/3221226728/53707442.smil
江西卫视3,rtsp://115.153.233.154/PLTV/88888888/224/3221226717/53707446.smil
江西卫视4,rtsp://115.153.233.154/PLTV/88888888/224/3221226704/53213102.smil
江西卫视5,rtsp://115.153.233.154/PLTV/88888888/224/3221226708/53213097.smil
江西卫视6,rtsp://115.153.233.154/PLTV/88888888/224/3221226724/53707450.smil
江西卫视7高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226650/53190437.smil
江西卫视8,rtsp://115.153.233.154/PLTV/88888888/224/3221225650/10000100000000060000000000523498_0.smil
江西教育,rtsp://115.153.233.154/PLTV/88888888/224/3221226568/10000100000000060000000002002624_0.smil
湖南卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225697/iptv8039.smil
浙江卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
江苏卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
东方卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
黑龙江卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil
湖北卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
天津卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226652/46098366.smil
安徽卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226622/51176344.smil
辽宁卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226649/46098370.smil
山东卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil
深圳卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
东南卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226677/51176347.smil
云南卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225775/10000100000000060000000000195766_0.smil
吉林卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226831/59814731.smil
西藏卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225570/iptv101725.smil
广西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225577/iptv7979.smil
宁夏卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225747/iptv101619.smil
河南卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226842/59814787.smil
重庆卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226638/51813388.smil
甘肃卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225749/iptv101672.smil
海南卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225581/iptv7981.smil
四川卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226693/51813384.smil
山西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225551/iptv7966.smil
贵州卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226833/59814738.smil
青海卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225589/iptv7985.smil
陕西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225755/iptv101726.smil
内蒙古卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225591/iptv7986.smil
新疆卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225550/iptv61197.smil
兵团卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225753/iptv101723.smil
河北卫视高清,rtsp://115.153.233.154/PLTV/88888888/224/3221226821/59781859.smil
CETV1,rtsp://115.153.233.154/PLTV/88888888/224/3221225751/iptv101710.smil
金鹰卡通,rtsp://115.153.233.154/PLTV/88888888/224/3221225585/iptv7983.smil
都市剧场高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225738/10000100000000060000000000901499_0.smil
北京卡酷少儿,rtsp://115.153.233.154/PLTV/88888888/224/3221225566/iptv101695.smil
炫动卡通,rtsp://115.153.233.154/PLTV/88888888/224/3221225583/iptv7982.smil
法治天地,rtsp://115.153.233.154/PLTV/88888888/224/3221225607/iptv7994.smil
生活时尚,rtsp://115.153.233.154/PLTV/88888888/224/3221225603/iptv7992.smil
国学频道,rtsp://115.153.233.154/PLTV/88888888/224/3221226797/59781463.smil
欢笑剧场高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
凤凰咨询,rtsp://115.153.233.154/PLTV/88888888/224/3221226581/43217146.smil
劲爆体育高清,rtsp://115.153.233.154/PLTV/88888888/224/3221225969/10000100000000060000000000913520_2.smil
港台影视,#genre#
HBO原创电影,vjms://58.215.133.185:8500:3502/live/cid=436#mitv://198.255.74.87:9906/5dc08f0d00043b0201b7bd5c9b45d94e.ts#vjms://23.237.33.155:8500:3502/live/cid=436#http://pili-live-hdl.qhmywl.com/dsdtv/fcdd3a3c591bdd0b07a17a92cb555cc1.flv
HBO家庭,vjms://58.215.133.185:8500:3502/live/cid=181#vjms://121.14.222.75:8500:3502/live/cid=181#vjms://23.237.33.155:8500:3502/live/cid=181#http://pili-live-hdl.qhmywl.com/dsdtv/7e7ed5cc99029fd0d27e25009d7abdac.flv
HBO强档,vjms://58.215.133.185:8500:3502/live/cid=238#mitv://198.255.74.87:9906/5dc08f0d000512f301b7bd94cf14a0de.ts#vjms://23.237.33.155:8500:3502/live/cid=238#http://pili-live-hdl.qhmywl.com/dsdtv/c971b59822c6a91fab4bad8ca9b45f6b.flv
HBO,vjms://58.215.133.185:8500:3502/live/cid=261#mitv://198.255.74.87:9906/5dc08f1000069e8c01b7c9b1fc8f2c36.ts#vjms://23.237.33.155:8500:3502/live/cid=261#http://pili-live-hdl.qhmywl.com/dsdtv/13e83b20bc716e68221da438d761d352.flv
东森电影,mitv://198.255.74.87:9906/5dc08f260007c9ef01b81fee3b2ada72.ts#p8p://0198.02686.cc:16871/5d1a69af0009735f11bdcb2402d2abda.ts#vjms://23.237.33.155:8500:3502/live/cid=338#http://pili-live-hdl.qhmywl.com/dsdtv/d2325cfdfd53364263d307573f78e3ce.flv
东森洋片台,mitv://198.255.74.87:9906/5dc08f260006fe2e01b81fb9af371dd5.ts#http://pili-live-hdl.qhmywl.com/dsdtv/24b15906d2250c062c0f0b5339e166b2.flv
靖天电影台,mitv://198.255.74.87:9906/5dc08f1c0000812601b7f70010bb4246.ts#p8p://0198.02686.cc:16871/5d1a69d4000d791711be5cb4cbc75c73.ts#http://pili-live-hdl.qhmywl.com/dsdtv/5634d5c8ee5afeb118df8decf5eb6c56.flv
龙华电影,http://pili-live-hdl.qhmywl.com/dsdtv/0e5dee9e8021ce3b9ec9bb78e9710555.flv
龙华经典,mitv://198.255.74.87:9906/5dc08f230000f2cc01b8127555450c4d.ts#http://pili-live-hdl.qhmywl.com/dsdtv/669a67f26ad4b9f68664bfcaefc9553e.flv#p2p://fccsovh.pvbox.live:18912/5b14090b0001269c17d0ee93023202c3
龙华洋片,mitv://198.255.74.87:9906/5dc08f2300048cfe01b81361fc3b1d55.ts#http://pili-live-hdl.qhmywl.com/dsdtv/b7829653660ec5e84c70e7f3a01e1e6c.flv
星卫HD电影,http://pili-live-hdl.qhmywl.com/dsdtv/41e05f3849c21412aa8b347f18adb3f6.flv
美亚电影台,mitv://198.255.74.87:9906/5dc08f100008811601b7ca2c2608b02d.ts#http://pili-live-hdl.qhmywl.com/dsdtv/4a1141f101530bff4fc0e9229625e6b5.flv
影迷数位电影,http://pili-live-hdl.qhmywl.com/dsdtv/991d0a1e4fc3c270d037fae11c587741.flv
LSTime电影台,http://pili-live-hdl.qhmywl.com/dsdtv/a5da9875c963d704ac5dd8f866869723.flv
卫视电影台,mitv://198.255.74.87:9906/5dc08f110000c02301b7cc183ad4b85d.ts#p8p://0198.02686.cc:16871/5d1a69d0000743f711be4b7d2b320c30.ts#http://pili-live-hdl.qhmywl.com/dsdtv/4499fb1dcef8c7a9f64276bf71bfc5b4.flv
纬来电影台,mitv://198.255.74.87:9906/5dc08f26000d3e6601b82153716d51e1.ts#p2p://170.178.164.250:6141/5b448afc0007f4650004373eda7b4dd8.ts#http://pili-live-hdl.qhmywl.com/dsdtv/4f10b67646969a422a5490deaaabbc69.flv
FOX电影,vjms://58.215.133.185:8500:3502/live/cid=94#http://pili-live-hdl.qhmywl.com/dsdtv/b3d2208824d1ca27dad3068e376ab557.flv#mitv://198.255.74.87:9906/5dc08f0d0002935401b7bcf0e205eaa4.ts#vjms://23.237.33.155:8500:3502/live/cid=94
FOX家庭电影,mitv://198.255.74.87:9906/5dc08f0d0000e31001b7bc81e4cbc08b.ts#http://pili-live-hdl.qhmywl.com/dsdtv/440b3d3c474813d7ead7d3a795978e69.flv
FOX动作电影 HD,mitv://198.255.74.87:9906/5dc08f0d0001bd0201b7bcb97d30ebcb.ts
好莱坞电影,http://pili-live-hdl.qhmywl.com/dsdtv/8e678565884cdebd00f8b3121b3b7ee1.flv
ELTA影剧,mitv://198.255.74.87:9906/5dc08f1800025c2e01b7e7da7df39b79.ts#http://pili-live-hdl.qhmywl.com/dsdtv/0916fef64c4baab95f7097d001e4c27e.flv
龙华影剧,mitv://198.255.74.87:9906/5dc08f230003b10001b813293bd32673.ts#http://pili-live-hdl.qhmywl.com/dsdtv/d2e1d697b31906f91d7e19a5f06f64ed.flv
采昌影剧,mitv://198.255.74.87:9906/5dc08f17000de43001b7e6e537f198a5.ts#p2p://fccsovh.pvbox.live:18912/5b1409db0009049a17d41d161677386d#http://pili-live-hdl.qhmywl.com/dsdtv/b93ac92b703885f3cfe39bad8aa689d1.flv
龙华偶像,mitv://198.255.74.87:9906/5dc08f230002c50f01b812ed25702777.ts#http://pili-live-hdl.qhmywl.com/dsdtv/046d62141df9366aa54a66b22e095e24.flv
TVB星河,mitv://198.255.74.87:9906/5dc08f2a000c358f01b830afaa89e001.ts#p8p://0198.02686.cc:16871/5d1a69940005adb211bd60b57a4af31b.ts#http://192.154.103.74:8080/ZZ_tvbxinghe/ZZ_tvbxinghe.m3u8
華藝影剧台,p8p://0198.02686.cc:16871/5d1a69d700008c5a11be651dc2bd3d52.ts#http://pili-live-hdl.qhmywl.com/dsdtv/49d33b7521ceef2115572e8906e9f906.flv
三立戏剧台,p8p://0198.02686.cc:16871/5d1a69f90000ad2611bee9f55d87748f.ts
纬来戏剧,vjms://58.215.133.185:8500:3502/live/cid=137#mitv://198.255.74.87:9906/5dc08f26000b5af101b820d79801275b.ts#vjms://23.237.33.155:8500:3502/live/cid=137
八大戏剧,mitv://198.255.74.87:9906/5dc08f1f00038bfa01b80380693eb7f3.ts#vjms://23.237.33.155:8500:3502/live/cid=110#http://pili-live-hdl.qhmywl.com/dsdtv/6d7d7a9c22ba9aa4e411e3f7567763d8.flv
EYETV戏剧台,mitv://198.255.74.87:9906/5dc08f1b0008585301b7f51a726f4829.ts#p8p://0198.02686.cc:16871/5d1a69a2000ca28211bd992d29a29542.ts
凤凰电影台,rtmp://58.200.131.2:1935/livetv/fhdy#https://116.77.72.195/streams/d/fhdy/playlist.m3u8
MyCinemaEurope,http://pili-live-hdl.qhmywl.com/dsdtv/2d2f46a778c93f01b614213456fc97fc.flv
WarnerTV,mitv://198.255.74.87:9906/5dc08f020003327101b7922132df84c4.ts#http://pili-live-hdl.qhmywl.com/dsdtv/a645bdeafb1216c23352144c3505bd8c.flv
AXN,vjms://58.215.133.185:8500:3502/live/cid=2#http://pili-live-hdl.qhmywl.com/dsdtv/c762110b3eef8bcccce5863643dd66aa.flv#mitv://198.255.74.87:9906/5dc08efe000c72ce01b784df27914703.ts#vjms://23.237.33.155:8500:3502/live/cid=2
CINEMAX,mitv://198.255.74.87:9906/5dc08f0c000d7d5501b7bbd3536df5c6.ts#http://pili-live-hdl.qhmywl.com/dsdtv/9bece52b2f72795cc2f588f3d9e4eed3.flv
CinemaWorld,mitv://198.255.74.87:9906/5dc08f10000960c801b7ca669ad1a62d.ts#http://pili-live-hdl.qhmywl.com/dsdtv/357252de83720e30d40c00bfba69c497.flv
FOX CRIME,mitv://198.255.74.87:9906/5dc08f0c000f26df01b7bc4033c0db54.ts
CatchPlay电影,mitv://198.255.74.87:9906/5dc08f0200009eff01b791787b4828f5.ts#http://pili-live-hdl.qhmywl.com/dsdtv/65e80e1e0cd763a0302d7aa2a1135b0b.flv
FX,mitv://198.255.74.87:9906/5dc08f0d00036abb01b7bd27df32bfaf.ts#p8p://0198.02686.cc:16871/5d1a69a50009208511bda3ff8356848f.ts
BLUEANT,p8p://0198.02686.cc:16871/5d1a69a60004767211bda6b5be685208.ts
靖天戏剧,mitv://198.255.74.87:9906/5dc08f1c000237d601b7f770415b97fe.ts#p2p://fccsovh.pvbox.live:18912/5b14093e000c1de917d1b89a306502e9
天映经典,p2p://fccsovh.pvbox.live:18912/5b3c4f9b00031383627eef60721e1738
天映频道,mitv://198.255.74.87:9906/5dc08f10000b0c4f01b7cad355c99671.ts
龙华戏剧,mitv://198.255.74.87:9906/5dc08f230001dd4c01b812b1e9915397.ts
靖天映画,mitv://198.255.74.87:9906/5dc08f1b000edd1601b7f6c5b10ac892.ts
靖洋戏剧,mitv://198.255.74.87:9906/5dc08f1b000b184201b7f5ce694c5242.ts
